folder,coords,address
CGK05-001 - CGK05-002, -6.315417° 107.071684° -6.314890° 107.069533°,Jln Rawa Banteng
CGK05-002 - CGK05-003, -6.314890° 107.069533° -6.314421° 107.067117°,Jln Rawa Banteng
CGK05-003 - CGK05-004, -6.314421° 107.067117° -6.313707° 107.065266°,Jln Rawa Banteng
CGK05-004 - CGK05-005,-6.313707° 107.065266° -6.313800° 107.062432°,Jln Rawa Banteng
CGK05-005 - CGK05-006,-6.313800° 107.062432° -6.315620° 107.061686°,Jln raya Setu
CGK05-006 - CGK05-007,-6.315620° 107.061686° -6.317384° 107.060948°,Jln raya Setu
CGK05-007 - CGK05-008,-6.317384° 107.060948° -6.319051° 107.059804°,Jln raya Setu
CGK05-008 - CGK05-009, -6.319051° 107.059804° -6.320685° 107.057869°,Jln raya Setu
CGK05-009 - CGK05-010, -6.320685° 107.057869° -6.323015° 107.055986°,Jln raya Setu
CGK05-010 - CGK05-011, -6.323015° 107.055986° -6.324353° 107.055150°,Jln raya Setu
CGK05-011 - CGK05-012, -6.324353° 107.055150° -6.326147° 107.053850°,Jln raya Setu
CGK05-012 - CGK05-013,-6.326147° 107.053850° -6.327428° 107.052166°,Jln raya Setu
CGK05-013 - CGK05-014,-6.327428° 107.052166° -6.329056° 107.050573°,Jln raya Setu
CGK05-014 - CGK05-015,-6.329056° 107.050573° -6.330420° 107.049666°,Jln raya Setu
CGK05-015 - CGK05-016,-6.330420° 107.049666° -6.332431° 107.047707°,Jln raya Setu
CGK05-016 - CGK05-017,-6.332431° 107.047707° -6.334140° 107.046356°,Jln raya Setu
CGK05-017 - CGK05-018,-6.334140° 107.046356° -6.335967° 107.045011°,Jln raya Setu
CGK05-018 - CGK05-019,-6.335967° 107.045011° -6.336657° 107.042911°,Jln raya Setu
CGK05-019 - CGK05-020,-6.336657° 107.042911° -6.335576° 107.042224°,Jln raya Setu
CGK05-020 - CGK05-021,-6.335576° 107.042224° -6.333269° 107.042726°,Jln Raya R Suprapto
CGK05-021 - CGK05-022,-6.333269° 107.042726° -6.331150° 107.042010°,Jln Raya R Suprapto
CGK05-022 - CGK05-023,-6.331150° 107.042010° -6.329188° 107.040986°,Jln Raya R Suprapto
CGK05-023 - CGK05-024,-6.329188° 107.040986° -6.327273° 107.039890°,Jln Raya R Suprapto
CGK05-024 - CGK05-025,-6.327273° 107.039890° -6.325123° 107.039295°,Jln raya Setu
CGK05-025 - CGK05-026,-6.325123° 107.039295° -6.322932° 107.038900°,Jln Raya Bantar Gebang - setu
CGK05-026 - CGK05-027,-6.322932° 107.038900° -6.321561° 107.037140°,Jln Raya Bantar Gebang - setu
